signal_id | symbol | scanner | strategy | triggered_at | received_at | status | rejection_reason | trade_id | trigger_price
sig_6f6a4e87dc674dc7984762facc8449fc | INDOCO | first_pullback_long | first_pullback_long | 2026-07-28T11:56:00+05:30 | 2026-07-28T11:56:11.415915+05:30 | REJECTED_SCORE_51 | REJECTED_SCORE_51 |  | 260.66
sig_e761e31235754e8988edaa05c50c8a73 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-07-28T11:56:00+05:30 | 2026-07-28T11:56:12.098456+05:30 | REJECTED_SCORE_51 | REJECTED_SCORE_51 |  | 260.66
sig_77b6793f142747f3bc6f2592b6b3b19f | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-07-28T12:01:00+05:30 | 2026-07-28T12:01:12.595435+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 265.07
sig_f2fd7f1b1bb748bb9538222ba04a80d6 | INDOCO | first_pullback_long | first_pullback_long | 2026-07-28T12:02:00+05:30 | 2026-07-28T12:02:10.681784+05:30 | REJECTED_SCORE_55 | REJECTED_SCORE_55 |  | 260.52
sig_8266dca2220143958b86c70b69b352d1 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T12:27:00+05:30 | 2026-07-28T12:27:12.752433+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 242.81
sig_472e2cc2b58745e8a21521fc01b114ac | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T12:27:00+05:30 | 2026-07-28T12:27:15.406732+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 242.81
sig_3a46d1a1da504aadb9030b8533e3db93 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T12:32:00+05:30 | 2026-07-28T12:32:13.092352+05:30 | REJECTED_SCORE_50 | REJECTED_SCORE_50 |  | 240.19
sig_941ffc5bf9f4490dbb5591c93030f238 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T12:33:00+05:30 | 2026-07-28T12:33:16.019976+05:30 | REJECTED_SCORE_49 | REJECTED_SCORE_49 |  | 240.78
sig_4fa3200d9c4d474a838ddf41a73fb300 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T12:39:00+05:30 | 2026-07-28T12:39:12.908220+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 242.61
sig_c1a0448b39ef4069a74bfb28c66ce4c3 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T12:39:00+05:30 | 2026-07-28T12:39:16.509705+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 242.61
sig_2180325c753d4e0393051b8338052b0d | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T12:45:00+05:30 | 2026-07-28T12:45:22.844172+05:30 | REJECTED_SCORE_47 | REJECTED_SCORE_47 |  | 242.85
sig_94540d8756b949efa6257ce20a988540 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T12:45:00+05:30 | 2026-07-28T12:45:23.869062+05:30 | REJECTED_SCORE_47 | REJECTED_SCORE_47 |  | 242.85
sig_fbc4f48523114200a08ac90870df4a47 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T12:54:00+05:30 | 2026-07-28T12:54:12.414675+05:30 | REJECTED_SCORE_47 | REJECTED_SCORE_47 |  | 242.42
sig_f32074fca4794f3d9ba2b411ec7b9a46 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T12:54:00+05:30 | 2026-07-28T12:54:15.423114+05:30 | REJECTED_SCORE_47 | REJECTED_SCORE_47 |  | 242.42
sig_2df0ffe85d3540368214bbee235db9f5 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T12:59:00+05:30 | 2026-07-28T12:59:12.834327+05:30 | REJECTED_SCORE_47 | REJECTED_SCORE_47 |  | 242.7
sig_54d56e64b29a4f759d6f3d95f11fe2b7 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T12:59:00+05:30 | 2026-07-28T12:59:15.723534+05:30 | REJECTED_SCORE_47 | REJECTED_SCORE_47 |  | 242.7
sig_de2d43eb97ec4a2ca7a4ca1d1defdf38 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:05:00+05:30 | 2026-07-28T13:05:20.241728+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 241.84
sig_e2fb9348f8e840ac87ba1127875fa1cc | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:05:00+05:30 | 2026-07-28T13:05:22.055332+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 241.84
sig_7a46e51f24b2474aa6ba1028af22cfaf | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:11:00+05:30 | 2026-07-28T13:11:12.428582+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 239.72
sig_9c1f247388d0402f9ffccf57df1d12c5 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:11:00+05:30 | 2026-07-28T13:11:15.261228+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 239.72
sig_6a3172b994154780a5d67f7675fff43c | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:17:00+05:30 | 2026-07-28T13:17:12.126080+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 238.0
sig_abbf4af9c23c4a248a0e5846f78f2693 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:18:00+05:30 | 2026-07-28T13:18:14.998405+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 237.93
sig_ad0e42e6ce594c75b977ebd493631594 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:23:00+05:30 | 2026-07-28T13:23:11.468010+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 234.7
sig_d4ea189a867e4e9a800c1e1406464b3f | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:24:00+05:30 | 2026-07-28T13:24:15.227983+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 235.85
sig_beab0a10d4f34db98c5bacfc8db66b7c | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:29:00+05:30 | 2026-07-28T13:29:11.671313+05:30 | REJECTED_SCORE_51 | REJECTED_SCORE_51 |  | 237.86
sig_d29d3854437a4a87a7a35a0ea50ff0a8 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:30:00+05:30 | 2026-07-28T13:30:22.261947+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 237.0
sig_6944fe52bc674d26bdbc74d3174faddb | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:35:00+05:30 | 2026-07-28T13:35:20.053933+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 236.92
sig_97ce58f984af42889cd41dfba6bff2a3 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:35:00+05:30 | 2026-07-28T13:35:22.313068+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 236.92
sig_881010cd361845ee8f93cc7cdeb3192b | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:41:00+05:30 | 2026-07-28T13:41:11.835939+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 235.51
sig_6a7a0b5443954ba1a4440078528d75dc | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:41:00+05:30 | 2026-07-28T13:41:14.450128+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 235.51
sig_f0bbe6aaf03046b5b3a5fff3f51b7611 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:47:00+05:30 | 2026-07-28T13:47:10.868953+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 229.0
sig_feb6ad1ac99240b4a5cd2f71575bb392 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:47:00+05:30 | 2026-07-28T13:47:13.910051+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 229.0
sig_a837cd567f0b48c3aa2b7bb9a1f0f0b4 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:52:00+05:30 | 2026-07-28T13:52:11.950626+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 228.68
sig_669e60dc7f2b4b43a376f9bfe14bfe66 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:52:00+05:30 | 2026-07-28T13:52:15.457267+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 228.68
sig_e38f929825f744a0820c72085ad269f8 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T13:57:00+05:30 | 2026-07-28T13:57:12.188325+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 235.35
