n_files 16
strategy|nkeys|enabled|intent|direction|order_protocol|entry_method|entry_offset_pct|sl_method|sl_pct|sl_atr_multiplier|sl_min_pct|sl_max_pct|sl_gap_buffer_pct|tgt_method|tgt_pct|tgt_risk_reward|tgt_atr_multiplier|smart_tgt_enabled|pullback_wait_enabled|pullback_wait_tolerance_pct|pullback_wait_timeout_sec|min_score|min_volume_surge|min_adr_pct|max_spread_pct|max_concurrent_positions|entry_start_time|entry_end_time|trailing_sl_enabled|v3_playbook
first_pullback_long|35|True|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.015|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|True|0.005|180|0|1.3|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
first_pullback_short|35|True|INTRADAY|SHORT|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.015|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|True|0.005|180|0|1.3|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
gap_fade_long|36|True|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|0.3|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|1.3|0.005|0.005|3|09:25|15:00|<ABSENT>|<ABSENT>
gap_fade_short|36|True|INTRADAY|SHORT|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|0.3|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|1.3|0.005|0.005|3|09:25|15:00|<ABSENT>|<ABSENT>
gap_go_long|36|True|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.012|1.5|0.003|0.05|0.3|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|2.0|0.005|0.005|3|09:25|15:00|<ABSENT>|<ABSENT>
gap_go_short|36|True|INTRADAY|SHORT|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.012|1.5|0.003|0.05|0.3|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|2.0|0.005|0.005|3|09:25|15:00|<ABSENT>|<ABSENT>
open_high_breakdown_short|35|True|INTRADAY|SHORT|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|True|0.005|180|0|1.3|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
open_low_breakout_long|35|True|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|True|0.005|180|0|1.3|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
pb01_breakout_retest|36|False|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|1.3|0.005|0.005|2|09:25|11:00|<ABSENT>|True
positional_momentum_long|35|True|DELIVERY|LONG|LIMIT_TRIPLE|LIMIT|0.002|FIXED_PCT|0.02|2.0|0.005|0.08|<ABSENT>|RISK_REWARD|0.0|1.5|3.0|False|False|0.005|180|0|1.5|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
positional_sector_rotation|35|True|DELIVERY|LONG|LIMIT_TRIPLE|LIMIT|0.002|FIXED_PCT|0.02|2.0|0.005|0.08|<ABSENT>|RISK_REWARD|0.0|1.5|3.0|False|False|0.005|180|0|1.3|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
positional_swing_long|35|True|DELIVERY|LONG|LIMIT_TRIPLE|LIMIT|0.002|FIXED_PCT|0.02|2.0|0.005|0.08|<ABSENT>|RISK_REWARD|0.0|1.5|3.0|False|False|0.005|180|0|1.2|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
range_breakout_long|35|True|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|1.8|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
range_breakout_short|35|True|INTRADAY|SHORT|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.01|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|False|0.005|180|0|1.8|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
vwap_bounce_long|35|True|INTRADAY|LONG|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.008|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|True|0.005|180|0|1.5|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
vwap_rejection_short|35|True|INTRADAY|SHORT|CO_PLUS_TGT|LIMIT|0.001|FIXED_PCT|0.008|1.5|0.003|0.05|<ABSENT>|RISK_REWARD|0.0|1.5|2.5|True|True|0.005|180|0|1.5|0.005|0.005|2|09:25|15:00|<ABSENT>|<ABSENT>
