                          2026-09-11  2026-09-10  20d 2026-08-17..2026-09-11
requests                        3662        3636                       76080
403                              463         604                       12626
401                                0           0                           0
404                                0           0                           0
400                                0           0                           0
503                                0           0                           1
eod_200                            1           1                          20
inwin_200                       3198        3031                       63433
alerts_in_inwin                21005       24749                      548721
receiver_rejected              17198       20265                      447934
signals                         3807        4484                      100787
pre_screen_rejects                 0           0                        6536
screened                        3807        4484                       94251
quote_unavail                    160         294                        3666
circuit_prox                     113         384                        7612
scored                          3534        3806                       82973
score_rejected                  3453        3723                       81034
passed                            81          83                        1939
sizing_rejects                    32          35                         481
sized                             49          48                        1458
admission_rejects                 11          17                         577
admitted                          38          31                         881
throttled                         16          15                         549
dispatched                        22          16                         332
placement_failed                   1           3                          50
processed                         21          13                         282
other_status                       0           0                           0
trades_created                    22          16                         332
entry_orders_at_broker            21          13                         282
entry_filled                       6           8                         125
entry_cancelled_unfilled          15           5                         157
